,進站人次,出站人次,舊版4碼代碼,新版代碼,站名,英文站名,等級別,停靠列車次,進/出,出/進
91,672714,670326,1211,3480,斗南,Dounan,二等站,108,1.0035624457353587,0.9964502002336802
22,212627,219062,2203,1193,竹中,Jhujhong,簡易站,108,0.9706247546356739,1.0302642655918581
138,196686,189609,1409,5030,西勢,Sishih,三等站,107,1.037324177649795,0.9640187913730515
34,177195,177137,1026,1230,香山,Siangshan,簡易站,106,1.000327430181159,0.9996726769942719
35,70632,81829,1027,1240,崎頂,Ciding,招呼站,106,0.8631658702904839,1.1585258806206817
33,341465,309884,1035,1220,三姓橋,Sanxingqiao,簡易站,106,1.101912328484207,0.9075132151172155
66,943621,939255,1323,3280,太原,Taiyuan,簡易站,104,1.0046483649275224,0.9953731423950929
118,901861,907856,1233,4310,岡山,Gangshan,一等站,103,0.993396529846143,1.006647365835755
62,186633,185691,1325,3240,栗林,Lilin,簡易站,102,1.00507294376141,0.9949526611049493
64,155274,153948,1326,3260,頭家厝,Toujiacuo,簡易站,102,1.0086132979967262,0.9914602573515205
65,321698,333978,1327,3270,松竹,Songzhu,簡易站,102,0.9632311110312656,1.0381724474507146
67,335534,343396,1328,3290,精武,Jingwu,簡易站,102,0.9771051497396591,1.023431306514392
107,801319,784926,1226,4190,新市,Sinshih,三等站,101,1.020884771303282,0.9795424793371929
106,427983,404870,1244,4180,南科,Nanke,簡易站,97,1.057087460172401,0.9459955185135858
94,647724,616517,1214,4060,民雄,Minsyong,三等站,96,1.0506182311274466,0.9518205284967054
196,301299,773391,1826,7130,蘇澳新,Suaosin,一等站,93,0.38958172515583966,2.5668555156173767
93,552148,543960,1213,4050,大林,Dalin,三等站,90,1.0150525773953967,0.9851706426537812
203,565422,573378,1818,7210,礁溪,Jiaohsi,三等站,88,0.9861243368249217,1.0140709063319078
122,251241,256117,1236,4350,左營,Zuoying,簡易站,87,0.9809618260404425,1.019407660373904
124,272727,264030,1246,4370,美術館,Museum of Fine Arts,簡易站,87,1.0329394387001478,0.9681109681109681
125,62746,64894,1237,4380,鼓山,Gushan,簡易站,87,0.9668998674761919,1.0342332578969178
126,132471,139673,1247,4390,三塊厝,Sankuaicuo,簡易站,87,0.9484367057341075,1.0543666160895593
123,206993,206852,1245,4360,內惟,Neiwei,簡易站,87,1.0006816467812736,0.9993188175445546
46,832414,833000,1112,2200,大甲,Dajia,二等站,87,0.999296518607443,1.000703976627015
134,43970,48052,1405,4470,六塊厝,Lioukuaicuo,招呼站,86,0.9150503621077166,1.0928360245622015
120,782395,767392,1235,4330,楠梓,Nanzih,二等站,86,1.0195506338351195,0.9808242639587421
132,212984,216108,1403,4450,後庄,Houjhuang,簡易站,86,0.9855442649045848,1.0146677684708711
128,180767,177334,1419,4410,民族,Minzu,簡易站,86,1.0193589497783844,0.9810087018095117
103,467926,460163,1223,4150,隆田,Longtian,二等站,86,1.016870109070047,0.9834097699208849
130,316969,303896,1421,4430,正義,Zhengyi,簡易站,86,1.043018006160002,0.958756219062432
21,545260,556735,2213,1192,新莊,Xinzhuang,簡易站,86,0.9793887576674719,1.0210450060521585
20,115190,110642,2212,1191,千甲,Qianjia,簡易站,86,1.0411055476220603,0.9605174060248285
129,304874,300424,1420,4420,科工館,Science and Tecnology Museum,簡易站,86,1.0148123984768194,0.9854038061625459
49,826469,816055,1115,2230,沙鹿,Shalu,二等站,86,1.0127613947589318,0.9873994063903183
222,246344,244348,1805,7350,猴硐,Houtung,三等站,85,1.008168677460016,0.991897509174163
79,372602,383482,1205,3410,社頭,Shetou,三等站,85,0.9716283945530689,1.0292000579707032
60,920712,916193,1315,3220,后里,Houli,三等站,84,1.0049323668702992,0.995091841965783
48,355161,361259,1114,2220,清水,Cingshuei,三等站,84,0.9831201437196029,1.01716967797703
95,275872,291982,1241,4070,嘉北,ChiaPei,簡易站,82,0.9448253659472159,1.058396647720682
205,391196,381308,1816,7230,頭城,Toucheng,三等站,82,1.0259317926715412,0.9747236679311649
88,251403,251682,1208,3450,林內,Linnei,三等站,82,0.9988914582687677,1.001109771959762
215,32568,45190,1806,7330,三貂嶺,Sandiaoling,三等站,79,0.7206904182341226,1.3875583394743307
76,280135,290232,1240,3380,大村,Datsun,簡易站,79,0.9652105901485708,1.0360433362485943
75,361175,389246,1202,3370,花壇,Huatan,簡易站,79,0.9278836519835785,1.0777213262268983
137,49311,53743,1408,5020,麟洛,Linluo,招呼站,78,0.9175334462162514,1.0898785260895134
136,68812,72942,1407,5010,歸來,Gueilai,招呼站,78,0.9433796715198377,1.0600186014067314
139,103177,104696,1410,5040,竹田,Jhutian,簡易站,78,0.9854913272713379,1.01472227337488
226,201859,186090,1803,7380,四腳亭,Sihjiaoting,三等站,78,1.0847385673598797,0.9218811150357428
78,150118,171690,1204,3400,永靖,Yongjing,招呼站,78,0.874354942046712,1.1437002891059034
92,48540,59267,1212,3490,石龜,Shihguei,招呼站,77,0.8190055174042891,1.2209929954676555
116,569386,533786,1231,4290,大湖,Dahu,三等站,76,1.066693393981858,0.9374765097842237
117,540035,555405,1232,4300,路竹,Lujhu,三等站,76,0.9723265004816305,1.0284611182608534
227,117910,121999,1802,7390,暖暖,Nuannuan,招呼站,76,0.9664833318305888,1.03467899245187
54,260149,259660,1304,3150,豐富,Fongfu,招呼站,76,1.0018832319186628,0.9981203079773514
99,183612,182047,1219,4110,後壁,Houbi,簡易站,76,1.0085966810768647,0.9914765919438817
98,64312,68372,1218,4100,南靖,Nanjing,簡易站,76,0.9406189668285263,1.0631297425052868
97,225158,223826,1217,4090,水上,Shueishang,簡易站,76,1.0059510512630347,0.994084154238357
53,100992,111802,1302,3140,造橋,Zaociao,招呼站,76,0.9033112108906818,1.1070381812420786
104,45815,48149,1224,4160,拔林,Balin,招呼站,75,0.9515254730108621,1.050944013969224
101,267329,267062,1221,4130,柳營,Liouying,簡易站,75,1.000999767844171,0.9990012306932656
89,56916,67222,1209,3460,石榴,Shihliou,招呼站,75,0.8466870964862694,1.181073863237051
102,180681,188279,1222,4140,林鳳營,Linfongying,簡易站,75,0.9596449949277402,1.042052014323587
157,1960760,1934430,1632,6000,臺東,Taitung,一等站,75,1.0136112446560486,0.9865715334870152
119,436100,491966,1234,4320,橋頭,Ciaotou,三等站,74,0.8864433721029502,1.1281036459527631
43,258216,268673,1109,2170,通霄,Tongsiao,三等站,74,0.9610790812623524,1.0404971032004213
44,484517,475947,1110,2180,苑裡,Yuanli,三等站,74,1.018006206573421,0.9823122821283876
23,913228,843539,2214,1194,六家,Liujia,簡易站,70,1.0826150302475641,0.9236893743950032
198,191441,192899,1824,7150,冬山,Dongshan,二等站,70,0.9924416404439629,1.0076159234437765
114,255042,248574,5101,4271,長榮大學,Chang Jung Christian University,簡易站,70,1.026020420478409,0.9746394711459289
115,774318,691696,5102,4272,沙崙,Shalun,簡易站,70,1.1194484282112374,0.8932970691627987
147,283674,281575,1418,5120,枋寮,Fangliao,三等站,68,1.0074544970256591,0.992600661322504
51,211085,202277,1117,2250,大肚,Dadu,三等站,67,1.0435442487282292,0.9582727337328565
211,324850,361956,1810,7290,福隆,Fulong,三等站,67,0.8974847771552343,1.1142250269355087
213,244350,250140,1808,7310,雙溪,Shuangsi,二等站,67,0.976852962341089,1.0236955187231431
52,176307,75237,1118,2260,追分,Jhuifen,三等站,63,2.3433549982056703,0.42673858666984293
50,121877,118703,1116,2240,龍井,Longjing,三等站,63,1.0267390040689788,0.9739573504434799
47,25447,25575,1113,2210,臺中港,Taichung Port,二等站,62,0.9949951124144673,1.0050300624828075
200,47266,47487,1821,7180,二結,Erjie,三等站,62,0.9953460947206604,1.0046756653831508
197,7155,9203,1825,7140,新馬,Sinma,招呼站,61,0.7774638704770184,1.2862334032145353
39,368176,353321,1105,2130,後龍,Houlong,三等站,60,1.042043920400995,0.959652448828821
168,451452,443088,1619,6110,玉里,Yuli,一等站,56,1.0188766114180479,0.9814731134206959
204,31493,33080,1817,7220,頂埔,Dingpu,招呼站,53,0.9520253929866989,1.0503921506366494
202,39314,41553,1819,7200,四城,Sihcheng,簡易站,53,0.9461170071956296,1.0569517220328637
212,57575,72154,1809,7300,貢寮,Gungliao,簡易站,52,0.7979460598165036,1.2532175423360834
45,82062,78877,1111,2190,日南,Rihnan,簡易站,52,1.0403793247714797,0.9611878823328702
144,127327,117583,1415,5090,林邊,Linbian,三等站,51,1.0828691222370581,0.9234726334555907
142,142690,127674,1413,5070,南州,Nanjhou,三等站,51,1.1176120431724548,0.8947648749036372
186,669168,373900,1712,7030,新城,Sincheng,二等站,50,1.7896977801551217,0.5587535566554288
57,280428,280511,1308,3180,銅鑼,Tongluo,三等站,50,0.9997041114252204,1.000295976150741
58,251762,258715,1310,3190,三義,Sanyi,三等站,50,0.9731248671317859,1.0276173528967836
192,272334,275937,1705,7090,南澳,Nanao,三等站,46,0.9869426716968004,1.0132300777721475
162,198792,190099,1626,6050,關山,Guanshan,三等站,46,1.045728804465042,0.9562708760915932
56,35952,38898,1307,3170,南勢,Nanshih,招呼站,46,0.9242634582754897,1.0819425901201603
214,40956,45282,1807,7320,牡丹,Mudan,招呼站,46,0.9044653504703856,1.1056255493700557
59,166966,175079,1314,3210,泰安,Taian,簡易站,46,0.9536609187852341,1.0485907310470395
41,122498,122590,1107,2150,白沙屯,Baishatun,三等站,45,0.999249530956848,1.0007510326699212
195,171329,176402,1827,7120,蘇澳,Suao,二等站,43,0.971241822655072,1.0296096982997625
170,214933,215655,1616,6130,瑞穗,Rueisuei,三等站,43,0.9966520600032459,1.0033591863510956
164,190890,195666,1624,6070,池上,Chihshang,三等站,42,0.975591058231885,1.025019644821625
182,149363,144655,1602,6250,吉安,Jian,三等站,40,1.032546403511804,0.9684794761754919
